ts,icao,lat,lon,alt,gs,trk,roc,callsign
1742314584.0691943,A29184,42.37298583984375,-71.19590065696025,7450,193,168.05024277850615,-384,
1742314583.521977,A39089,42.480592889300844,-70.96158759538514,6950,253,167.0053832080835,-64,JBU2286_
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
1742314584.0691943,A29184,42.37298583984375,-71.19590065696025,7450,193,168.05024277850615,-384,
1742314579.6984117,A433D1,42.41667666677701,-71.1599163676417,4875,253,207.2736200991848,0,
1742314582.9760294,ABEDEC,42.374542236328125,-70.9511427445845,5875,247,168.82616175818526,0,N868PZ__
1742314584.0688908,A29931,42.16520147808527,-71.1018549009811,2800,148,19.290046219188735,-64,
1742314579.6984117,A433D1,42.41667666677701,-71.1599163676417,4875,253,207.2736200991848,0,
1742314583.521977,A39089,42.480592889300844,-70.96158759538514,6950,253,167.0053832080835,-64,JBU2286_
1742314584.0691943,A29184,42.37298583984375,-71.19590065696025,7450,193,168.05024277850615,-384,
1742314583.521977,A39089,42.480592889300844,-70.96158759538514,6950,253,167.0053832080835,-64,JBU2286_
1742314580.7910528,04021D,42.2850734904661,-71.06582996457121,35000,554,52.69605172201657,0,
